y,t
29,38.66796875
33.5,38.669921875
35.25,38.671875
29.125,38.673828125
30.625,38.67578125
46.5,38.677734375
45.875,38.6796875
33.25,38.681640625
22.875,38.68359375
20.625,38.685546875
35.875,38.6875
50.375,38.689453125
55.5,38.69140625
47,38.693359375
51.5,38.6953125
66.375,38.697265625
47.625,38.69921875
36.75,38.701171875
64.375,38.703125
85,38.705078125
59.125,38.70703125
49.75,38.708984375
71,38.7109375
68,38.712890625
67,38.71484375
77.375,38.716796875
82.75,38.71875
87.875,38.720703125
84,38.72265625
71.5,38.724609375
75,38.7265625
96.5,38.728515625
106.25,38.73046875
98.125,38.732421875
80.5,38.734375
87.375,38.736328125
111.875,38.73828125
100.125,38.740234375
93.75,38.7421875
112.25,38.744140625
126.5,38.74609375
128,38.748046875
119.375,38.75
118.125,38.751953125
130.75,38.75390625
132.875,38.755859375
118.875,38.7578125
120.25,38.759765625
138.75,38.76171875
140.75,38.763671875
118.125,38.765625
130.5,38.767578125
166.5,38.76953125
179.75,38.771484375
170.75,38.7734375
162.375,38.775390625
169.375,38.77734375
181.625,38.779296875
183.875,38.78125
177,38.783203125
180.875,38.78515625
184.625,38.787109375
181.75,38.7890625
181.625,38.791015625
191.5,38.79296875
194.125,38.794921875
192.375,38.796875
200.125,38.798828125
193,38.80078125
177.125,38.802734375
179.375,38.8046875
203,38.806640625
219.625,38.80859375
207.25,38.810546875
205.25,38.8125
210.875,38.814453125
210.875,38.81640625
208.625,38.818359375
207.5,38.8203125
214.25,38.822265625
218.125,38.82421875
227.875,38.826171875
224.375,38.828125
215.875,38.830078125
228,38.83203125
235.125,38.833984375
214.125,38.8359375
201.25,38.837890625
207.375,38.83984375
215.5,38.841796875
225,38.84375
226,38.845703125
224.875,38.84765625
226.25,38.849609375
227.5,38.8515625
225.5,38.853515625
218.25,38.85546875
224.75,38.857421875
230.125,38.859375
226.375,38.861328125
234.875,38.86328125
240,38.865234375
249.625,38.8671875
243.125,38.869140625
220,38.87109375
230,38.873046875
239.125,38.875
232.375,38.876953125
241.875,38.87890625
248,38.880859375
224.375,38.8828125
217.375,38.884765625
234.875,38.88671875
226.875,38.888671875
219.75,38.890625
229.125,38.892578125
226.5,38.89453125
213.125,38.896484375
221.125,38.8984375
231.875,38.900390625
220.125,38.90234375
223.375,38.904296875
229.25,38.90625
221.25,38.908203125
216.5,38.91015625
225.875,38.912109375
235.625,38.9140625
230.5,38.916015625
223,38.91796875
217.125,38.919921875
214.375,38.921875
218.25,38.923828125
218.5,38.92578125
212,38.927734375
212.25,38.9296875
217,38.931640625
223.75,38.93359375
227.5,38.935546875
223.375,38.9375
220.25,38.939453125
211.125,38.94140625
212.125,38.943359375
221.875,38.9453125
233.25,38.947265625
236.75,38.94921875
227.375,38.951171875
226.375,38.953125
235.125,38.955078125
234.75,38.95703125
232.875,38.958984375
230.875,38.9609375
215.125,38.962890625
215.375,38.96484375
233,38.966796875
239,38.96875
220.75,38.970703125
204.625,38.97265625
196.25,38.974609375
201.25,38.9765625
219.25,38.978515625
226.625,38.98046875
228.25,38.982421875
218.625,38.984375
203.25,38.986328125
204.375,38.98828125
221.125,38.990234375
229.75,38.9921875
220.375,38.994140625
208.125,38.99609375
206,38.998046875
205.625,39
211.25,39.001953125
210.875,39.00390625
207.875,39.005859375
209.75,39.0078125
192,39.009765625
180.875,39.01171875
178.125,39.013671875
184.25,39.015625
196.875,39.017578125
183.375,39.01953125
179,39.021484375
186.875,39.0234375
184.5,39.025390625
180,39.02734375
184.375,39.029296875
193.5,39.03125
181.5,39.033203125
184.75,39.03515625
198.625,39.037109375
180.25,39.0390625
183.375,39.041015625
197.5,39.04296875
188.375,39.044921875
189.75,39.046875
186.875,39.048828125
178,39.05078125
180.125,39.052734375
181.5,39.0546875
177.375,39.056640625
180.875,39.05859375
202.25,39.060546875
201,39.0625
175.75,39.064453125
171.5,39.06640625
177.125,39.068359375
175.5,39.0703125
172.75,39.072265625
177.625,39.07421875
177.875,39.076171875
167.375,39.078125
169.25,39.080078125
170.25,39.08203125
171.5,39.083984375
177.625,39.0859375
173,39.087890625
164.625,39.08984375
